"Title","When Lost","Where Lost","Builder","Owner","Master","Sinking","Found","Beam","Bearing to Bow","Cargo","Chart Number","Comments","Confidential","Country Built","Crew","Date Inspected","Deaths","Draft","Engine","File Number","Found","Inspected","Latitude Max","Latitude Min","Length","Length of site","Longitude Max","Longitude Min","Minimum Depth of site","Official Number","Port Built","Port From","Port Registered","Port To","Position Information","Protected","Sources","Sunk Code","TONA","TONB","When Built","Unique Number","Construction","Industry1","Industry2","Type","Region"
"'t Wapen van Hoorn","1622/06","Unlikely off Australian Coast","","VOC","","","N","","","General","","fluyt-ship 32°03 – 115°44 VOC Chamber of Hoorn, left Netherlands 1621/12/26, arrived in Batavia 1622/07/22","NO","Netherlands","200","","","","N","","N","N","","","","","","","","","Hoorn","Texel","","Java","","Protected Federal","ARA VOC 988 (1623)
Dutch-Asiatic Shipping II, Outward Voyages 1595-1794, R.G.P. 166","Refloated","400600.00","","1619","106","Wooden","Transport","cargo - international","Shipwreck","Unknown"
"(Black Eyed) Susan","1908/12/28","North Mole, Fremantle","","Fremantle Harbour Trust","Arthur J. Green","Collided with RMS Mongolia","N","","","","1058,112, 114","Removed from the navigational channel to North of the North Mole where her engines and boilers were salvaged.","NO","","","","1","","Steam engine","","N","N","","","","","","","","","","piloting","","","","Protected Federal","Harbour & Lights File: Acc 1066/16/5/1055/1908 Sinking of SS ""Black Eyed Susan"" re sinking by R.M.S. Mongolia I.J. Field, Steam Vessels Wrecked in Western Australian Waters","Foundered","","","","624","Wooden","Services","port services","Shipwreck","Metro North"
"1844 Cannon","1844","","","","","","N","","","","","","NO","Unknown","","","","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","Unknown","","","","618","Unknown","","","Shipwreck","Unknown"
"19 mile unidentified","unknown","","","","","","Y","","","","","","NO","","","11/2003","","","","","Y","Y","-19.17935","","","","121.1530833333","","","","","","","","GPS","Unknown","Gainsford, M & Kimpton, G. 2003 19 Mile Broome Unidentified Interim Wreck Inspection Report Report-Department of Maritime Archaeology
Western Australian Maritime Museum No. 177.","","","","","967","","Fisheries","pearling","Shipwreck","North West (Eighty Mile Beach Area)"
"A 106","1976/02/17","Near Albany","","","","","N","","","","","","NO","","","","","","","","N","","","","","","","","","","","","","","","Protected Federal","","","","","","13","","","","Shipwreck","S Coast (Albany)"
"Aagtekerke","1726/01","Between Cape Good Hope and Jacarta","VOC","VOC","Jan Witboom","","N","","","Coin","","32°04 - 115°22","NO","Netherlands","212","","212","","N","386/71","N","N","","","47.50","","","","","","Vlissingen","Vlissingen/Rammekens","","Batavia","","Protected Federal","B/L Museum Files Countryman, 1969/05/02
Halls, 'The Loss of the Dutch East Indiaman Aagtekerke', p. 5","Unknown","850.00","","1724","884","Wooden","Transport","cargo - international","Shipwreck","Unknown"
"Aarcadia
Annie Lisle","1887/05/20","Rottnest then hulk at Careening Bay","","William Balfourc Hay of Adelaide and James Moore of Bunbury","Captain Hayes","Collision","N","8.00","","Light ballast","117","","NO","Canada","","","","3.90","N","134/76","N","N","","","40.50","","","","","52459","Quebec","Gage Roads","Adelaide","Gage Roads","","Protected Federal","Harbour-master to Col. Sec., 21 may 1887, CSO 4542/1887
Inquirer, 1 June 1887, pp. 2f, 3b and 27 July 1887, p. 2e","Refloated","324.00","","1865","1563","Comp.","Transport","cargo - international","Shipwreck","Metro (Careening Bay)"
"Abandoned Fishing Vessel","2006","","","","","","N","","","","","","NO","","","","","","","","N","N","-18.0166666667","","","","109.1","","","","","","","","RAN Hydrographic Department","Protected Federal","RAN Hydrographic Department database unreliable","","","","","1026","","","","Shipwreck","North West"
"Abemama","1927/06/17","Jervoise Bay, Cockburn Sound","S.B. and Transportation Co.","Abemama Shipping Co.","H. Downie","Snapped  anchor chains in storm","Y","9.70","","No cargo","117, 1058","Mr and Mrs Arnold McGhie were caretakers on board the ship when it wrecked.
The vessel is fully buried now during new harbour works in April 2000.","NO","Canada","7","","","3.60","N","2009/0059/SG _MA-4/81","Y","Y","-32.14156","","40.70","","115.765729","","","138200","Nova Scotia","Fremantle subsidy","Fremantle","Points Cloates","Archival aerial 1950","Protected Federal","Ships Register (Fremantle)
12: 11/1926 - 3/1929
Harbour  Masters Log Books (Albany)
14: 1/1 - 31/12/1923
Harbour Masters Letter Books (Fremantle)
5: 21/8/1922 - 1/7/1923
6: 1/7/1923 - 13/3/1924
Monthly Summary of Vessels arriving Various Ports
12: 1908 - 1921
13: 1922 - 1942
 Master Coastal Vessels Records
3: 15/10/1902 - 9/12/1926
3: 29/9/1910 -   3/12/1926
Sea-going Certificates
3: 10/8/8/1914 - 13/1/1950
Port of Albany Shipping Records 1923
Lloyds Register of Ships
Mercantile Navy List and Maritime Directory
Shipping Arrival and Departures (Albany) 1922 - 1932
W.F. Neyle - Memories of Sailing Ships on the Clarence River
Agreements and Account of Crew. (Abemama)
Ships Logbooks. (Abemama)
Harbour and Lights Department (WA)
Shipping Casualties 1894 -1962
Newspapers
The Sound Advertiser 25/6/1980
Western Mail 1927
West Australian 29/3/79
Photos
Battye Collection
Duffty Collection
Faily Sawday Collection
Maritime Museum Photo List","Wrecked and sunk","395.00","317.00","1918","183","Wooden","Transport","","Shipwreck","Metro (Jervoise Bay)"
"Aboyne","1877/02/17","Lacepede Islands","","W. Moodie and Co.","Captain Swan","Cyclone","N","9.90","","Guano","1207, 323, 1048","RAN Hydrographic Department position 17°57.7 122°09.6","NO","UK","3","","6","4.60","N","7/78","N","N","","","56.10","","","","","48681","Sunderland","","London","","","Protected Federal","Inquirer, 28/3/1877
Western Australian Times, 13/4/1877
Wynne to Col. Sec., 23/2/1877, C.S.R. 864, fol. 26-33 Wynne to Col. Sec., 3/3/1877, C.S.R. 864, fol. 42 Wynne to Col. Sec., 5/4/1877, C.S.R. 864, fol. 65 Lloyds Shipping","Wrecked and sunk","445.00","","1864/1875","656","Composite","Transport","other","Shipwreck","North West (Lacepedes Area)"
